name,year_start,year_end,position,height,weight,birth_date,college,height_original,weight_original,height_inches,weight_lbs,birth_date_parsed,birth_year,birth_month,birth_day,career_length,Games_Played,Total_Points,Total_Rebounds,Total_Assists,Total_Steals,Total_Blocks,Seasons_Count,Avg_PER,Total_Win_Shares,Avg_FG_Pct,Avg_3P_Pct,Avg_FT_Pct,PPG,RPG,APG,SPG,BPG,Efficiency,Is_AllStar
Alaa Abdelnaby,1991,1995,F-C,6-10,240.0,"June 24, 1968",Duke University,6-10,240.0,82.0,240.0,1968-06-24,1968.0,6.0,24.0,5,385.0,2299.0,1297.0,125.0,111.0,107.0,9.0,10.455555555555556,7.1,0.4538888888888889,0.17066666666666663,0.6793333333333333,5.9714285714285715,3.3688311688311687,0.3246753246753247,0.2883116883116883,0.2779220779220779,2.046233766233766,0.0
Zaid Abdul-Aziz,1969,1978,C-F,6-9,235.0,"April 7, 1946",Iowa State University,6-9,235.0,81.0,235.0,1946-04-07,1946.0,4.0,7.0,10,570.0,4978.0,4524.0,648.0,337.0,265.0,14.0,13.75,17.4,0.3995,0.292,0.6747142857142857,8.733333333333333,7.936842105263158,1.1368421052631579,0.5912280701754385,0.4649122807017544,3.772631578947369,0.0
Kareem Abdul-Jabbar,1970,1989,C,7-2,225.0,"April 16, 1947","University of California, Los Angeles",7-2,225.0,86.0,225.0,1947-04-16,1947.0,4.0,16.0,20,,,,,,,,,,,,,,,,,,,
Mahmoud Abdul-Rauf,1991,2001,G,6-1,162.0,"March 9, 1969",Louisiana State University,6-1,162.0,73.0,162.0,1969-03-09,1969.0,3.0,9.0,11,586.0,8553.0,1087.0,2079.0,487.0,46.0,9.0,14.877777777777778,25.099999999999998,0.4397777777777778,0.3164444444444444,0.8931111111111112,14.595563139931741,1.8549488054607508,3.54778156996587,0.8310580204778157,0.07849829351535836,4.181569965870308,1.0
Tariq Abdul-Wahad,1998,2003,F,6-6,223.0,"November 3, 1974",San Jose State University,6-6,223.0,78.0,223.0,1974-11-03,1974.0,11.0,3.0,6,321.0,2662.0,1151.0,388.0,263.0,121.0,10.0,9.93,5.5,0.3822,0.2933,0.6416000000000001,8.292834890965732,3.5856697819314642,1.2087227414330217,0.8193146417445483,0.37694704049844235,2.856697819314642,0.0
Shareef Abdur-Rahim,1997,2008,F,6-9,225.0,"December 11, 1976",University of California,6-9,225.0,81.0,225.0,1976-12-11,1976.0,12.0,11.0,12,915.0,16412.0,6878.0,2283.0,888.0,672.0,14.0,17.878571428571426,79.2,0.4549285714285714,0.2869285714285715,0.8295,17.936612021857922,7.516939890710383,2.495081967213115,0.9704918032786886,0.7344262295081967,5.930710382513661,1.0
Tom Abernethy,1977,1981,F,6-7,220.0,"May 6, 1954",Indiana University,6-7,220.0,79.0,220.0,1954-05-06,1954.0,5.0,6.0,5,358.0,1842.0,1059.0,403.0,192.0,63.0,7.0,10.4,13.7,0.452,0.175,0.6912857142857144,5.145251396648045,2.958100558659218,1.1256983240223464,0.5363128491620112,0.17597765363128492,1.988268156424581,0.0
Forest Able,1957,1957,G,6-3,180.0,"July 27, 1932",Western Kentucky University,6-3,180.0,75.0,180.0,1932-07-27,1932.0,7.0,27.0,1,1.0,0.0,1.0,1.0,29.0,11.0,1.0,-6.899999999999997,0.0,0.13200000000000012,0.292,0.743,0.0,1.0,1.0,29.0,11.0,8.4,1.0
John Abramovic,1947,1948,F,6-3,195.0,"February 9, 1919",Salem International University,6-3,195.0,75.0,195.0,1919-02-09,1919.0,2.0,9.0,2,,,,,,,,,,,,,,,,,,,
Alex Abrines,2017,2018,G-F,6-6,190.0,"August 1, 1993",Unknown,6-6,190.0,78.0,190.0,1993-08-01,1993.0,8.0,1.0,2,68.0,406.0,86.0,40.0,37.0,8.0,1.0,10.1,2.1,0.393,0.381,0.898,5.970588235294118,1.2647058823529411,0.5882352941176471,0.5441176470588235,0.11764705882352941,1.6970588235294115,0.0
